id,club,last_name,first_name,position,base_salary,guaranteed_compensation
359,DAL,Van Den Bergh,Dave,M,210000,227000
360,DC,Vaughn,Lawson,D,34650,34650
361,CHV,Victorine,Sasha,M,125000,135000
362,NE,Videira,Michael,M,34000,34000
363,TFC,Vitti,Pablo,M-F,288000,303000
364,DAL,Wagner,Blake,D,50930,63430
365,SEA,Wahl,Tyson,D,34650,34650
366,HOU,Waibel,Craig,D,77008.8,77008.8
367,DC,Wallace,Rodney,M-D,55000,104000
368,DAL,Wallace,Anthony,D-M,75000,108000
369,CHI,Ward,Tim,D,45000,45000
370,CHI,Washington,Austin,D,20100,20100
371,KC,Watson,Lance,M,34000,34000
372,HOU,Weaver,Cam,F,64980,73230
373,SJ,Weber,Andrew,GK,37500,37500
374,TFC,White,O'Brian,F,36000,113000
375,DC,Wicks,Josh,GK,42000,42000
376,RSL,Williams,Andy,M,84000,84000
377,RSL,Wingert,Chris,D,105000,105000
378,KC,Wolff,Josh,F,200004,200004
379,NY,Wolyniec,John,F,80000,80000
380,SJ,Wondolowski,Chris,M,34650,34650
381,CHI,Woolard,Daniel,D,34000,34000
382,TFC,Wynne,Marvell,D,57000,159500
383,SJ,Zaher,Michael,D,20100,20100
384,SEA,Zakuani,Steve,F,65000,163000
385,CHV,Zamora,Cesar,M,20100,20100
386,CLB,Zayner,Jed,D,39930,47430
387,NY,Zimmerman,Nick,D,20100,20100
388,KC,Zusi,Graham,F-M,34008,34008
